gm1,gm2,gm3,gm4,gender
4,5,5,4,Female
5,5,5,5,Female
4,4,4,5,Female
4,5,4,5,Female
4,5,4,5,Female
5,4,3,5,Female
5,5,4,5,Female
5,5,4,4,Female
4,3,3,4,Female
3,5,4,5,Female
3,4,5,5,Female
3,3,3,4,Female
5,4,4,5,Female
4,4,4,4,Female
4,4,3,4,Female
5,5,5,5,Female
5,5,5,5,Female
4,5,3,4,Female
3,3,4,3,Female
3,4,5,5,Female
5,5,4,3,Female
5,5,5,5,Female
4,4,5,5,Female
3,4,5,3,Female
4,5,4,4,Female
4,4,4,4,Female
5,5,5,5,Female
5,5,5,5,Female
3,4,4,5,Female
4,4,3,3,Female
4,5,5,5,Female
5,5,4,5,Female
5,5,4,3,Female
4,3,4,5,Female
3,3,3,3,Female
5,5,5,5,Female
4,4,5,5,Female
5,5,5,5,Female
3,5,4,5,Female
5,5,5,5,Female
4,4,4,3,Female
4,5,5,3,Female
4,5,4,5,Female
5,5,5,4,Female
5,5,4,5,Female
3,5,5,5,Female
5,5,5,5,Female
4,5,5,5,Female
5,5,5,5,Female
5,4,4,3,Female
4,4,4,4,Female
4,4,5,5,Female
5,5,5,5,Female
5,5,5,5,Female
4,5,5,5,Female
3,5,4,3,Female
5,5,5,5,Female
5,5,5,5,Female
5,5,5,5,Female
4,5,3,5,Female
3,3,4,5,Female
3,5,5,5,Female
5,5,4,5,Female
3,5,5,5,Female
5,5,5,5,Female
5,5,4,5,Female
3,3,4,4,Female
5,5,5,5,Female
4,5,4,5,Female
5,5,5,3,Female
4,4,4,4,Female
5,5,4,5,Female
4,3,3,3,Female
5,5,5,3,Female
3,5,3,4,Female
4,4,4,4,Female
3,5,4,5,Female
5,5,3,3,Female
3,4,4,4,Female
3,5,5,5,Female
5,5,5,5,Female
4,5,4,5,Female
4,5,5,5,Female
4,5,3,5,Female
5,5,5,5,Female
4,5,5,5,Female
5,5,5,4,Female
5,5,5,5,Female
4,4,3,4,Female
3,3,4,4,Female
5,5,5,5,Female
5,5,5,5,Female
3,5,4,5,Female
3,4,3,5,Female
3,5,5,5,Female
5,5,4,4,Female
5,3,5,5,Female
3,5,5,4,Female
5,3,5,4,Female
5,5,5,5,Female
5,5,5,5,Female
3,4,4,5,Female
5,5,5,5,Female
5,5,5,5,Female
5,5,5,5,Female
5,5,4,5,Female
5,5,5,5,Female
5,5,4,5,Female
5,5,5,5,Female
5,5,5,5,Female
3,4,4,5,Female
3,5,5,4,Female
5,5,5,5,Female
4,4,4,5,Female
5,5,5,5,Female
5,5,5,5,Female
3,5,4,4,Female
4,5,3,5,Female
5,5,4,5,Female
5,5,5,5,Female
5,5,5,5,Female
5,5,5,5,Female
4,5,5,5,Female
3,5,4,5,Female
3,5,5,4,Female
5,5,4,4,Female
4,5,4,5,Female
4,4,4,4,Female
5,5,4,5,Female
5,5,5,5,Female
4,4,4,4,Female
3,5,4,5,Female
3,5,3,3,Female
5,5,5,5,Female
5,5,5,5,Female
3,3,3,4,Female
5,5,4,5,Female
5,5,5,5,Female
3,4,3,3,Female
3,3,3,3,Female
5,5,5,5,Female
4,5,5,5,Female
3,5,5,5,Female
4,4,4,4,Female
4,5,3,5,Female
4,5,4,5,Female
5,5,5,5,Female
5,5,5,3,Female
3,4,3,4,Female
4,3,3,4,Female
3,5,4,5,Female
3,5,5,5,Female
5,5,4,5,Female
4,4,5,4,Female
4,3,4,5,Female
4,5,4,5,Female
5,5,5,5,Female
4,5,4,5,Female
5,5,4,5,Female
5,5,5,5,Female
4,5,5,5,Female
5,5,5,5,Female
4,4,4,4,Female
5,5,5,5,Female
3,5,5,5,Female
5,5,5,5,Female
4,4,4,4,Female
5,5,5,5,Female
5,5,4,5,Female
5,4,3,3,Female
