bel1,bel2,bel3,bel4,bel5,bel6,bel7,gender
3,5,5,4,5,5,4,F
3,4,5,5,5,5,4,F
4,4,4,3,4,3,3,F
4,3,4,3,3,4,2,F
4,5,4,4,4,4,4,F
3,4,5,4,4,5,4,F
5,5,5,5,5,5,5,F
3,4,3,3,4,3,3,F
4,5,5,5,5,5,5,F
4,5,4,4,4,4,4,F
5,5,5,5,5,5,5,F
4,4,5,5,4,4,4,F
4,4,5,3,4,4,3,F
4,4,5,4,4,5,4,F
5,5,5,3,5,3,3,F
3,4,4,3,5,4,4,F
3,4,4,3,4,4,4,F
4,4,4,4,4,4,3,F
5,5,5,5,5,5,4,F
3,4,5,4,4,4,4,F
4,5,4,4,4,4,3,F
5,5,5,4,5,4,4,F
4,4,4,4,4,4,4,F
3,3,4,4,3,3,3,F
4,4,4,3,4,4,3,F
5,4,5,5,5,5,5,F
4,4,4,4,4,4,4,F
3,5,5,3,5,4,4,F
3,3,3,3,3,3,3,F
5,3,4,5,5,5,5,F
3,4,4,4,4,4,3,F
4,4,4,4,4,4,4,F
3,2,4,4,4,4,2,F
4,4,4,4,4,4,4,F
4,4,5,5,5,3,3,F
2,2,4,3,3,3,3,F
5,5,5,5,5,5,5,F
5,5,5,5,5,5,5,F
2,4,4,4,4,4,4,F
3,4,5,5,5,5,5,F
4,4,4,4,4,4,4,F
5,5,5,4,5,4,4,F
5,5,5,5,5,5,5,F
4,4,4,4,4,4,4,F
4,4,4,3,5,2,2,F
3,1,5,1,5,3,3,F
5,5,5,5,5,5,5,F
4,4,4,4,4,4,4,F
3,5,5,3,5,5,5,F
4,4,5,4,3,4,4,F
4,5,5,3,4,3,3,F
4,4,4,4,4,4,4,F
5,5,5,5,5,5,5,F
5,5,5,5,5,5,5,F
4,5,5,5,5,5,5,F
5,5,5,3,5,4,4,F
4,3,5,3,4,3,3,F
4,4,4,3,5,4,4,F
5,5,5,3,5,3,3,F
4,5,5,5,4,5,5,F
4,4,5,5,5,5,5,F
4,4,4,4,4,4,4,F
3,4,4,4,4,4,4,F
5,4,4,4,4,4,4,F
2,5,5,5,4,4,3,F
4,4,4,4,4,4,4,F
4,5,4,4,5,4,4,F
