id,survey,selfad
STU281017,First Administration,3
STU281017,Second Administration,2.5
STU281092,First Administration,2.5
STU281092,Second Administration,2.5
STU281167,First Administration,3.5
STU281167,Second Administration,3.5
STU281241,Second Administration,2.75
STU281316,First Administration,2.5
STU281390,First Administration,3.75
STU281390,Second Administration,3
STU281540,First Administration,2.75
STU281540,Second Administration,2.5
STU281689,First Administration,1.25
STU281763,Second Administration,3.5
STU281838,First Administration,3.25
STU281838,Second Administration,2.25
STU281912,First Administration,3.25
STU281912,Second Administration,3
STU281987,Second Administration,2.75
STU282062,First Administration,3.25
STU282136,First Administration,2.25
STU282136,Second Administration,2.5
STU282285,First Administration,2.5
STU282285,Second Administration,3.5
STU282360,First Administration,3.5
STU282434,First Administration,2.75
STU282434,Second Administration,2.75
STU282584,Second Administration,2
STU282658,First Administration,3
STU282658,Second Administration,3.75
STU282733,First Administration,3.5
STU282733,Second Administration,3
STU282807,First Administration,4
STU282807,Second Administration,3.75
STU282882,First Administration,2.5
STU282882,Second Administration,2.5
STU282957,First Administration,2.5
STU282957,Second Administration,2.5
STU283031,First Administration,3
STU283031,Second Administration,3.25
STU283180,First Administration,3
STU283180,Second Administration,3.75
STU283329,First Administration,3.75
STU283329,Second Administration,3
STU283404,First Administration,2.25
STU283404,Second Administration,2
STU283553,First Administration,3.25
STU283553,Second Administration,2.25
STU283702,First Administration,2.75
STU283777,First Administration,2.25
STU283777,Second Administration,2.25
STU283851,Second Administration,2.75
STU283926,First Administration,2.75
STU283926,Second Administration,2.25
STU284001,First Administration,3.25
STU284075,First Administration,3.75
STU284150,First Administration,3
STU284150,Second Administration,3.5
STU284224,First Administration,3.5
STU284224,Second Administration,3.25
STU284299,First Administration,4
STU284299,Second Administration,3.75
STU284374,First Administration,1.25
STU284374,Second Administration,1.5
STU284448,First Administration,3.25
STU284448,Second Administration,2.75
STU284523,Second Administration,3.5
STU284597,First Administration,3.5
STU284597,Second Administration,3.25
STU284672,First Administration,2.5
STU284672,Second Administration,4
STU284746,First Administration,3.75
STU284746,Second Administration,3.75
STU284821,First Administration,3.5
STU284821,Second Administration,3
STU284896,First Administration,2.5
STU284896,Second Administration,4
STU284970,First Administration,2.5
STU284970,Second Administration,3.25
STU285119,First Administration,3
STU285119,Second Administration,3.25
STU285194,First Administration,1.75
STU285194,Second Administration,1.5
STU285269,First Administration,1.5
STU285269,Second Administration,2.5
STU285343,First Administration,3.25
STU285343,Second Administration,2.75
STU285418,First Administration,3
STU285418,Second Administration,2.75
STU285492,First Administration,3
STU285492,Second Administration,3.25
STU285567,First Administration,2.5
STU285567,Second Administration,2.75
STU285641,First Administration,3
STU285641,Second Administration,2.75
STU285791,First Administration,2.5
STU285940,First Administration,2.75
STU285940,Second Administration,1.5
STU286014,First Administration,3.25
STU286014,Second Administration,3
STU286089,First Administration,3.5
STU286089,Second Administration,3.25
STU286163,First Administration,2.75
STU286163,Second Administration,3
STU286313,First Administration,2.25
STU286387,First Administration,2.5
STU286387,Second Administration,2.5
STU286462,Second Administration,2
STU286536,First Administration,2
STU286536,Second Administration,2.5
STU286611,First Administration,3
STU286611,Second Administration,3
STU286686,First Administration,3.5
STU286686,Second Administration,3
STU286835,First Administration,3
STU286835,Second Administration,3
STU286984,Second Administration,2.25
STU287058,First Administration,2.5
STU287058,Second Administration,3.25
STU287133,First Administration,3.25
STU287133,Second Administration,2.5
STU287357,First Administration,3
STU287357,Second Administration,2.75
STU287506,First Administration,3.5
STU287506,Second Administration,2.5
STU287580,First Administration,2.75
STU287580,Second Administration,3.25
STU287655,First Administration,2.75
STU287655,Second Administration,2.75
STU287804,First Administration,2.75
STU287804,Second Administration,2.5
STU287879,First Administration,2.5
STU287879,Second Administration,3
STU287953,First Administration,3.5
STU287953,Second Administration,2.75
STU288103,First Administration,2
STU288103,Second Administration,2.75
STU288177,First Administration,2.75
STU288177,Second Administration,2.5
STU288252,First Administration,3.75
STU288252,Second Administration,2.5
STU288401,First Administration,2.5
STU288401,Second Administration,2.75
STU288699,First Administration,3.5
STU288699,Second Administration,4
STU288774,Second Administration,3.5
STU288923,First Administration,3
STU288923,Second Administration,2.75
STU288998,First Administration,2.5
STU288998,Second Administration,2
STU289072,First Administration,1.75
STU289072,Second Administration,1.75
STU289147,Second Administration,3
STU289221,First Administration,3.25
STU289221,Second Administration,2.75
STU289296,First Administration,2.5
STU289296,Second Administration,2.5
STU289370,First Administration,3.5
STU289445,Second Administration,4
STU289520,First Administration,3.75
STU289594,First Administration,3
STU289594,Second Administration,3
STU289669,First Administration,3
STU289669,Second Administration,2
STU289743,Second Administration,2.25
STU289818,First Administration,2.75
STU289818,Second Administration,2.75
STU289892,First Administration,2.75
STU289892,Second Administration,3
STU290042,First Administration,1.5
STU290042,Second Administration,1.5
STU290116,First Administration,3.75
STU290191,First Administration,2.25
STU290265,Second Administration,2.75
STU290340,First Administration,3.75
STU290340,Second Administration,3
STU290415,First Administration,3.25
STU290415,Second Administration,3.25
STU290489,First Administration,2.75
STU290489,Second Administration,2.75
STU290564,First Administration,3
STU290638,Second Administration,2
STU290713,First Administration,2.75
STU290787,First Administration,2
STU290787,Second Administration,2.25
STU290862,First Administration,2.5
STU290862,Second Administration,2.75
STU290937,First Administration,1.75
STU290937,Second Administration,1.5
STU291011,First Administration,2
STU291086,Second Administration,3.75
