,city,job_title,company_name,location,summary,salary
1,New+York+NY,Data Scientist,"AbleTo, Inc.","New York, NY","Combines best-in-class patient engagement with behavior change treatment programs that allow health plans and plan sponsors to improve health outcomes, while...",
2,New+York+NY,"Research Software Engineer, Google Brain",Google,"New York, NY 10011","You manage individual project priorities, deadlines, and deliverables, adapting to changes and setbacks in order to manage pressures, demonstrating and applying...",
3,New+York+NY,Data Scientist/Data Analyst,Gryphon Strategies,"White Plains, NY",Data Scientists and Analysts work directly with the Managing Director for Data Mining & Analytics to develop relevant analytics for client investigations and...,
4,New+York+NY,"Sales Engineer, Machine Learning, Google Cloud",Google,"New York, NY 10011","You're a Sales Engineer with excellent technical, communication, and organizational skills, previous experience in big data analytics in a cloud environment,...",
5,New+York+NY,"Data Scientist, Growth Insights",Spotify,"New York, NY 10011 (Chelsea area)","As a Data Scientist, our mission is to turn our 200 petabytes of data into insights and gain a deep understanding of music and listeners to impact the strategy...",
6,New+York+NY,"Data Scientist, Analytics (Instagram)",Facebook,"New York, NY","We’re looking for Data Scientists to work on our core and business products across Instagram, who are passionate about using data to help drive informed product...",
7,New+York+NY,Data Scientist,Goldman Sachs,"New York, NY 10282 (Tribeca area)","You will leverage methods from diverse disciplines like machine learning, statistical modelling, information theory, information retrieval and other areas to...",
8,New+York+NY,Data Scientist,YieldStreet,"New York, NY 10017 (Midtown area)","We offer an attractive market salary, stock option plan, health & dental benefits, life insurance, 401(k), paid vacation and holidays and that's before you even...",
9,New+York+NY,Data Scientist,Amazon.com,"New York, NY",We are looking for talented and experienced Machine Learning Scientists who can apply innovative Machine Learning techniques to real-world problems....,
10,New+York+NY,Jr Data Scientist,Gartner,"New York, NY","Projects and working as part of a cross-discipline team of data scientists,. Advertising, web analytics, e-commerce or social data....",
11,New+York+NY,Data Scientist,Bankers Healthcare Group,"New York, NY","We are seeking a talented data scientist to work on revenue predictive analytics team at BHG. Proficient in statistics and machine learning, including...",
12,New+York+NY,Data Scientist,Atlantic Media,"New York, NY 10011 (Chelsea area)","The Data Scientist will:. Quartz seeks a data scientist to help us improve with data. You would be joining our analytics team, which consists of several...",
13,New+York+NY,Data Scientist - Jr. / Mid Level,Techwave Consulting Inc.,"New York, NY 10022 (Midtown area)","Create data table transformations, perform data validation. Analyze large data sets. Manage full life cycle projects with multiple stakeholders on an embedded...",
14,New+York+NY,Data Scientist,Komodo Health,"New York, NY",Komodo Health is transforming predictive analytics in enterprise healthcare with its proprietary data cloud and streaming data platform....,
15,New+York+NY,Python Data Engineer,SRS Investment Management,"New York, NY 10036","You’ll be writing Python scripts deployed on AWS, and communicating with data scientists and infrastructure engineers....",
16,New+York+NY,Data Scientist,"Shore Group Associates, LLC","New York, NY","We are looking for data scientists who are not only interested in plugging data into a model, but also understanding the data like the back of their hand....",
17,New+York+NY,Data Scientist,"Shore Group Associates, LLC","New York, NY","We are looking for data scientists who are not only interested in plugging data into a model, but also understanding the data like the back of their hand....",
18,New+York+NY,"Research Software Engineer, Google Brain",Google,"New York, NY 10011","You manage individual project priorities, deadlines, and deliverables, adapting to changes and setbacks in order to manage pressures, demonstrating and applying...",
19,New+York+NY,"Data Scientist, Data & Analytics",MLB Advanced Media,"New York, NY 10011 (Chelsea area)","Data Scientist, Data & Analytics. MLBAM is looking for a Data Scientist to join its Data & Analytics team in our New York City office....",
20,New+York+NY,Data Scientist,Tumblr,"New York, NY","We want data scientists who know how to use their knowledge and skill with data and statistics to create real, actionable product insights....",
21,New+York+NY,Data Science Intern,Lazard Ltd.,"New York, NY","The Summer Data Science Intern will have the opportunity to work closely with data scientists, investment bankers and investment managers across the Firm....",
22,New+York+NY,Data Scientist,Pinnacle Consulting USA,"New York, NY","Manager in the Advanced Analytics & Modeling practice group, you will provide industry insight and technical and analytical support in a consulting environment....",
23,New+York+NY,Data Scientist,Kasisto,"New York, NY","The position’s responsibilities will include developing scalable systems for storing, moving, analyzing, and training machine learning algorithms using large...",
24,New+York+NY,Data Scientist,Equityzen,"Manhattan, NY",Freedom to architect new analytics engines using state of the art technology (such as Elasticsearch and Scientific Python)....,
25,New+York+NY,Data Scientist,Zocdoc,"New York, NY 10012 (Little Italy area)","Expertise working with SQL, a scripting language (Python, Scala, and/or R), and distributed computed (Spark). Evangelize data usage and logging (understand data...",
26,New+York+NY,Research Intern (Data Analyst),International WELL Building Institute,"New York, NY",Identify and gather publicly available data on risk factors for leading health outcomes and detriments to health and well-being....,
27,New+York+NY,Business Analyst - Science,AIG,"New York, NY",Collaborate with data scientists to enable the building of effective analytical models. Passionate about developing effective and efficient data science...,
28,New+York+NY,Data Scientist,Farfetch,"New York, NY",You will collaborate with other Scientists and Engineers to build efficient data products. You will prototype and productionise Machine Learning pipelines to...,
29,New+York+NY,Data Scientist/Data Analyst,Gryphon Strategies,"White Plains, NY",Data Scientists and Analysts work directly with the Managing Director for Data Mining & Analytics to develop relevant analytics for client investigations and...,
30,New+York+NY,Python Data Engineer,SRS Investment Management,"New York, NY 10036","You’ll be writing Python scripts deployed on AWS, and communicating with data scientists and infrastructure engineers....",
31,New+York+NY,Data Scientist,"AbleTo, Inc.","New York, NY","Combines best-in-class patient engagement with behavior change treatment programs that allow health plans and plan sponsors to improve health outcomes, while...",
32,New+York+NY,Data Scientist,"Shore Group Associates, LLC","New York, NY","We are looking for data scientists who are not only interested in plugging data into a model, but also understanding the data like the back of their hand....",
33,New+York+NY,"Research Software Engineer, Google Brain",Google,"New York, NY 10011","You manage individual project priorities, deadlines, and deliverables, adapting to changes and setbacks in order to manage pressures, demonstrating and applying...",
34,New+York+NY,Data Scientist - Internship,Dataminr,"New York, NY","You are interested in strong abstractions that allow for fast iteration, easy integration and short development cycles, allowing us to constantly learn from our...",
35,New+York+NY,Analytics Data and Visualization Specialist-Revenue Product Insights,Spotify,"New York, NY 10011 (Chelsea area)","You will work with data engineers, data scientists, user researchers and product managers in the Free Revenue mission to ensure that the right information is...",
36,New+York+NY,"Data Scientist, Monetization Analytics",SoundCloud,"New York, NY 10003 (Greenwich Village area)","Our Data Scientists are using evidence in order to inform decisions across the organization and to build engaging, personally relevant experiences for our users...",
37,New+York+NY,Digital Data Scientist,JP Morgan Chase,"New York, NY 10001 (Chelsea area)",Data Scientist – Applied Machine Learning. Digital Intelligence Data Scientist – Applied Machine Learning. We are currently looking for a data scientist who is...,
38,New+York+NY,Data Research and Acceleration Analyst - Part-time Internship (Fall 2018),"Two Sigma Investments, LLC.","New York, NY","In this role, you will partner with our close-knit team of quantitative researchers, data scientists, engineers, and data discovery colleagues to translate data...",
39,New+York+NY,"Data Scientist/Quantitative Analyst Intern, Summer 2018",Google,"New York, NY 10011 (Chelsea area)","Specifically, we support the development of innovative, highly scalable, next-generation technologies through deep research and advanced analysis....",
40,New+York+NY,Data Scientist,"Converseon, Inc.","New York, NY 10018 (Clinton area)",Data visualization and writing skills:. Data Analysis and “Storytelling” - able to perform quant/qual analyses on social media data and translate into insights...,
41,New+York+NY,"Data Scientist, Google BrandLab and Unskippable Experiments",Google,"New York, NY 10011 (Chelsea area)",Shape and deliver deep data insights that advances the recommendations and broader thought leadership to our clients to accelerate their online video marketing...,
42,New+York+NY,Data Scientist,"Paradigm Infotech, Inc","New York, NY","Should be an experienced Senior Data Scientist (8 years minimum) and 10 years in IT with expert knowledge in applying data mining techniques, performing data...",
43,New+York+NY,Data Scientist Intern,The New York Times,"New York, NY","The Times seeks a Data Scientist to join the Data Science Group applying machine learning methods to meet this challenge, in close collaboration with working...",
44,New+York+NY,Data Scientist/Data Analyst,Gryphon Strategies,"White Plains, NY",Data Scientists and Analysts work directly with the Managing Director for Data Mining & Analytics to develop relevant analytics for client investigations and...,
45,New+York+NY,Python Data Engineer,SRS Investment Management,"New York, NY 10036","You’ll be writing Python scripts deployed on AWS, and communicating with data scientists and infrastructure engineers....",
46,New+York+NY,Data Scientist,"AbleTo, Inc.","New York, NY","Combines best-in-class patient engagement with behavior change treatment programs that allow health plans and plan sponsors to improve health outcomes, while...",
47,New+York+NY,Data Scientist,"Shore Group Associates, LLC","New York, NY","We are looking for data scientists who are not only interested in plugging data into a model, but also understanding the data like the back of their hand....",
48,New+York+NY,Python Data Engineer,SRS Investment Management,"New York, NY 10036","You’ll be writing Python scripts deployed on AWS, and communicating with data scientists and infrastructure engineers....",
49,New+York+NY,"Analytics Expert - Journey Analytics, New Ventures",McKinsey & Company,"New York, NY 10022 (Midtown area)","As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)...",
50,New+York+NY,Data Scientist,Dataiku,"New York, NY","Familiarity with data visualization in R or Javascript. Our ideal candidate is comfortable learning new languages, technologies and modeling techniques, while...",
51,New+York+NY,"Data Scientist - Healthcare Analytics & Delivery, Advanced Analytics",McKinsey & Company,"New York, NY 10022 (Midtown area)","You will be expected to communicate complex analytics concepts in a clear and concise manner to business leaders, and you'll use statistics and machine learning...",
52,New+York+NY,"Data Scientist, Personalization",HelloFresh,"New York, NY",Collaborate closely with the top management and other talented data scientists to discover innovative ways of leveraging vast repositories of user generated...,
53,New+York+NY,Senior Data Scientist,Networkers Technology,"New York, NY","They take pride in their technical excellence backed by a passionate team of data engineers, machine learning specialists, and data administrators who build,...",
54,New+York+NY,"Senior Data Scientist, Product",Morgan Stanley,"New York, NY 10032 (Washington Heights area)",Required• Understanding and defining what a minimally viable data science product is and how to reach an actionable end state with an economy of effort•...,
55,New+York+NY,Machine & Deep Learning Data Scientist Internship,Crushh,"New York, NY",This data science internship is unique opportunity to gain hands-on experience in machine learning and explore deep learning and neural networks....,
56,New+York+NY,Data Scientist,Pivotal Software,"New York, NY 10017 (Midtown area)","You bring a deep focus and passion for a particular specialization within analytics (e.g., text or sentiment analytics, network/graph analytics, time series...",
57,New+York+NY,Data Scientist,BDIPlus,"New York, NY","Previous professional experience as a Data Scientist (2 years minimum), 2+ years of experience with Machine Learning, 2 years of experience within Predictive &...",
58,New+York+NY,Data Scientist,"Shore Group Associates, LLC","New York, NY","We are looking for data scientists who are not only interested in plugging data into a model, but also understanding the data like the back of their hand....",
59,New+York+NY,Data Scientist/Data Analyst,Gryphon Strategies,"White Plains, NY",Data Scientists and Analysts work directly with the Managing Director for Data Mining & Analytics to develop relevant analytics for client investigations and...,
60,New+York+NY,"Research Software Engineer, Google Brain",Google,"New York, NY 10011","You manage individual project priorities, deadlines, and deliverables, adapting to changes and setbacks in order to manage pressures, demonstrating and applying...",
61,New+York+NY,Data Scientist,"AbleTo, Inc.","New York, NY","Combines best-in-class patient engagement with behavior change treatment programs that allow health plans and plan sponsors to improve health outcomes, while...",
62,New+York+NY,Data Scientist,"Shore Group Associates, LLC","New York, NY","We are looking for data scientists who are not only interested in plugging data into a model, but also understanding the data like the back of their hand....",
63,New+York+NY,Python Data Engineer,SRS Investment Management,"New York, NY 10036","You’ll be writing Python scripts deployed on AWS, and communicating with data scientists and infrastructure engineers....",
